question,answer
How to lower your risk of getting an abdominal aortic aneurysm,"Making healthy lifestyle changes can help lower your risk of getting an abdominal aortic aneurysm, or stop one from getting bigger.
Do
eat healthily
exercise regularly
try to lose weight if you're overweight
try to cut down on alcohol
Don’t
do not smoke"
Causes of an abdominal aortic aneurysm,"An abdominal aortic aneurysm happens when the main artery that carries blood from the heart to the tummy (the aorta) becomes weakened.
It's not always clear what causes it, but some people have a higher chance of getting one.
You’re more at risk if you:
are male and aged 65 or over
smoke or used to smoke
have high blood pressure
have high cholesterol
have a close relative who's had an abdominal aortic aneurysm
have coronary or peripheral artery disease (atherosclerosis)
have chronic obstructive pulmonary disease (COPD)
have a condition such as Marfan syndrome
Sometimes an abdominal aortic aneurysm can be caused by an infection, but this is rare."
How to get an abortion,"Abortions can only be carried out under the care of an NHS hospital or a licensed clinic, and are usually available free of charge on the NHS.
If you're less than 10 weeks pregnant you may be able to have a medical abortion at home after an initial appointment with the hospital or clinic.
There are 3 main ways to get an abortion on the NHS:
you can self-refer by contacting an abortion provider directly – the British Pregnancy Advisory Service (BPAS), MSI Reproductive Choices UK, the National Unplanned Pregnancy Advisory Service (NUPAS) or your local NHS sexual health website can tell you about eligibility and services in your area
speak to a GP and ask for a referral to an abortion service – the GP should refer you to another doctor if he or she has any objections to abortion
contact a sexual health clinic (sometimes called family planning or GUM (genitourinary medicine) clinics) and ask for a referral to an abortion service
Waiting times can vary, but you should not have to wait more than 2 weeks from when you (or a doctor) first contact an abortion provider to having an abortion.
You can also pay for an abortion privately (not on the NHS) if you prefer. Costs for private abortions vary depending on the stage of pregnancy and the method used to carry out the procedure."
When an abortion can be carried out,"Most abortions in England, Wales and Scotland are carried out before 24 weeks of pregnancy.
They can be carried out after 24 weeks in very limited circumstances – for example, if the mother's life is at risk or the child would be born with a severe disability.
Most abortion services will ask to perform an ultrasound scan to work out how many weeks pregnant you are. The length of pregnancy is calculated from the first day of your last period.
Abortions are safer the earlier they're carried out. Getting advice early on will give you more time to make a decision if you're unsure."
Deciding to have an abortion,"The decision to have an abortion is yours alone.
Some women may be certain they want to have an abortion, while others may find it more difficult to make a decision.
All women requesting an abortion can discuss their options with, and receive support from, a trained pregnancy counsellor if they wish.
Impartial information and support are available from:
your GP or another doctor at your GP practice
a counselling service at the abortion clinic
organisations such as Brook (for under-25s), BPAS, MSI Reproductive Choices UK and NUPAS
You may also want to speak to your partner, friends or family, but you do not have to. They do not have a say in your decision.
If you do not want to tell anyone, your details will be kept confidential.
If you're under 16, your parents do not usually need to be told. The doctor or nurse may encourage you to tell a parent, carer or other adult you trust, but they will not make you.
There are organisations, usually known as crisis pregnancy centres, that offer counselling around pregnancy. They do not refer people for abortion, and may not offer balanced or accurate advice.
If you go to a place that offers pregnancy counselling and you're not sure if they will refer you for an abortion, ask if they refer people for an abortion."
What happens during an abortion,"Before having an abortion, you'll have an appointment to talk about your decision and what happens next.
Whenever possible, you should be given a choice of how you would like the abortion to be carried out.
There are 2 options:
medical abortion (""abortion pill"") – you take 2 medicines, usually 24 to 48 hours apart, to induce an abortion
surgical abortion – you have a procedure to remove the pregnancy and normally go home soon afterwards
After an abortion, you'll probably need to take things easy for a few days. It's likely you'll have some discomfort and vaginal bleeding for up to 2 weeks.
Read more about how an abortion is carried out."
Risks of an abortion,"Abortion is a safe procedure. Abortions are safest, and happen with less pain and bleeding, when carried out as early as possible in pregnancy.
Most women will not experience any problems, but there is a small risk of complications, such as:
infection of the womb (uterus)
some of the pregnancy remaining in the womb
excessive bleeding
damage to the womb or entrance of the womb (cervix)
If complications do occur, you may need further treatment, including surgery.
Having an abortion will not affect your chances of becoming pregnant again and having normal pregnancies in the future.
You may be able to get pregnant immediately after an abortion. You should use contraception if you do not want to get pregnant.
Read more about the risks of abortion."
Check if you have acanthosis nigricans,"The main symptom of acanthosis nigricans is patches of skin that are darker and thicker than usual.
They can appear anywhere on the body.
The patches are dry and feel similar to velvet.
Credit:
They're most common in skin folds, such as the armpits, neck or groin.
Credit:
Some people also have tiny growths (skin tags) on the patches.
Credit:
The patches often appear gradually without any other symptoms.
Sometimes the skin may be itchy."
Causes of acanthosis nigricans,"The most common cause of acanthosis nigricans is being very overweight.
Other causes include:
type 2 diabetes
conditions that affect hormone levels – such as Cushing's syndrome, polycystic ovary syndrome or an underactive thyroid
taking certain medicines – including steroids or hormone treatments like the contraceptive pill
rarely, cancer – usually stomach cancer
rarely, a faulty gene inherited from your parents
Sometimes healthy people with no other conditions get acanthosis nigricans. This is more common in people with black or brown skin."
Treating acanthosis nigricans,"Once a GP knows what's causing acanthosis nigricans, they can recommend the best treatment.
The patches should fade over time once the cause is treated.
If you're very overweight, a GP may recommend losing weight.
Depending on the cause, they may also recommend:
medicine to balance your hormones
medicine to balance your insulin levels
changing your medicine to one that does not cause the patches
There's no specific treatment for the patches themselves. A skin specialist (dermatologist) may be able to suggest treatments to improve their appearance, but finding and treating the cause is usually recommended first."
Symptoms of achalasia,"Not everyone with achalasia will have symptoms.
But most people with achalasia will find it difficult to swallow food or drink (known as dysphagia). Swallowing tends to get gradually more difficult or painful over a couple of years, to the point where it is sometimes impossible.
Other symptoms include:
bringing back up undigested food
choking and coughing fits
heartburn
chest pain
repeated chest infections
drooling of vomit or saliva
gradual but significant weight loss
Symptoms of achalasia may start at any time of life.
Swallowing problems can also be caused by cancers of the mouth, throat and oesophagus. There’s a link between long-term achalasia and the risk of developing cancer of the oesophagus, but the risk is small.
It’s always important to get symptoms checked straight away, even if your symptoms are not bothering you."
Causes of achalasia,"Achalasia is thought to happen when the nerves in the oesophagus become damaged and stop working properly, which is why the muscles and ring of muscle do not work. The exact cause of this is unknown.
In some people, it may be linked to a viral infection. It may also be associated with having an autoimmune condition, where the body's immune system attacks healthy cells, tissue and organs.
In rare cases, it's possible that achalasia is caused by a faulty gene."
Diagnosing achalasia,"If a GP thinks you have achalasia, you'll be referred to hospital to have some diagnostic tests. Achalasia may also be diagnosed during an investigation, such as a chest X-ray, for another reason.
The tests for achalasia include:
manometry – a small plastic tube is passed through your mouth or nose into your oesophagus to measure the muscle pressure along it at different points.
barium swallow – you drink a white liquid containing the chemical barium and X-rays are taken. The barium shows up clearly on X-ray so the doctor can see how long it takes to move into your stomach.
endoscopy – a thin, flexible instrument called an endoscope is passed down your throat to allow the doctor to look directly at the lining of your oesophagus, the ring of muscle and your stomach."
Treatments for achalasia,"There is no cure for achalasia, but treatment can help relieve the symptoms and make swallowing easier.
Your doctors will talk to you about the risks and benefits of the different treatment options.
Medicine
Medicines, such as nitrates or nifedipine, can help to relax the muscles in your oesophagus. This makes swallowing easier and less painful for some people, although they do not work for everyone.
The effect only lasts for a short time, so medicine may be used to ease symptoms while you wait for a more permanent treatment. They may cause headaches, but this usually improves over time.
Stretching the muscle (balloon dilation)
Under a sedative, or sometimes a general anaesthetic, a balloon is passed into the oesophagus using a long, thin flexible tube (endoscope). The balloon is then inflated to help stretch the ring of muscle that lets food into your stomach.
This improves swallowing for most people, but you may need treatment several times before your symptoms improve.
Balloon dilatation does carry a small risk of tearing the oesophagus (oesophageal rupture), which may require emergency surgery.
Botox injection
Using an endoscope, botox is injected into the ring of muscle that lets food into your stomach, causing it to relax.
It is usually effective for a few months and occasionally for a few years, but it has to be repeated. This is usually painless, and can be used for temporary relief in people who are not able to have other treatments.
Surgery
Under general anaesthetic, the muscle fibres in the ring of muscle that lets food into your stomach are cut. This is done using keyhole surgery (laparoscopy) and is called Heller's myotomy.
It can permanently make swallowing easier.
Often a second procedure will be done at the same time to stop you getting acid reflux and heartburn, which can be a side effect of the Heller's myotomy operation. Your surgeon will talk to you about this and any other surgical options which may be the best option for you.
Follow-up treatment
Balloon dilation and surgery can both cause side effects such as acid reflux and heartburn and chest pain. A GP may be able to prescribe medicine to help with this, and your surgeon may suggest you take this medicine routinely.
It's normal for chest pain to persist for a while after treatment.
You should see a GP if you still have swallowing difficulties or are continuing to lose weight after treatment.
Information:
Read about living with achalasia on the Achalasia Action website"
Immediate first aid,"After calling 999, to help prevent severe injuries from a chemical burn:
try to carefully remove the chemical and any contaminated clothing
rinse the affected area using as much clean water as possible
Remove the chemical and affected clothing
try to remove the chemical and contaminated clothing from contact with the skin and eyes, but be very careful not to touch or spread the chemical
use gloves or other protective materials to cover hands and, if possible, carefully cut away clothing such as T-shirts, rather than pulling them off over the head
do not wipe the skin as this may spread contamination
if the chemical is dry, brush it off the skin
Rinse continuously with clean water
rinse the affected area continuously with clean water as soon as possible
try to make sure the water can run off the affected area without pooling on the skin
only use water – do not rub or wipe the area
Stay on the phone until the ambulance arrives and follow any other advice given by the 999 call handler to avoid further injury."
Treatment in hospital,"Immediate treatment for chemical burns in hospital includes:
continuing to wash off the corrosive substance with water until it's completely removed
cleaning the burn and covering it with an appropriate dressing
pain relief
a tetanus jab if necessary"
Recovering from a chemical burn,"Minor burns
Minor burns affecting the outer layer of skin and some of the underlying layer of tissue normally heal with good ongoing burn care, leaving minimal scarring.
Your dressing will need to be checked and changed regularly until the burn has completely healed to help prevent infection.
Severe burns
If the burn is severe, you may be referred to a specialist burns unit, which may be in a different hospital. You may stay in hospital for a number of days.
You may need surgery to remove the burnt area of skin and replace it with a section of skin (a graft) taken from another part of your body. See plastic surgery techniques for more information.
More severe and deeper burns can take months or even years to fully heal and usually leave some visible scarring. In some cases, the depth and location of the burn may also lead to problems such as sight loss or restricted use of limbs or muscles.
Specialist support
Specialist burns teams include occupational therapists, physiotherapists and mental health professionals who can support your recovery. For chemical burns affecting the eyes, you're also likely to be urgently assessed by an eye specialist to help minimise the risk of lasting vision loss.
If you've been the victim of an attack and continue to feel upset, anxious or afraid several days after the incident, you can ask to be referred to the hospital's mental health liaison team for support and treatment. Anyone with an existing mental health problem who has suffered an attack should also be referred to this team.
Burns support groups also provide practical and emotional support to victims and their families. Your care team should be able to signpost you to local groups, and the following national organisations can also help:
Changing Faces provides support for people whose condition or injury affects their appearance
Victim Support provides help and advice to victims and witnesses of crimes
Katie Piper Foundation provides specific help for victims and families of acid attacks and other burns"
Check if your baby has reflux,"Reflux usually starts before a baby is 8 weeks old and gets better by the time they're 1.
Symptoms of reflux in babies include:
bringing up milk or being sick during or shortly after feeding
coughing or hiccupping when feeding
being unsettled during feeding
swallowing or gulping after burping or feeding
crying and not settling
not gaining weight as they're not keeping enough food down
Sometimes babies may have signs of reflux but will not bring up milk or be sick. This is known as silent reflux."
Things you can try to ease reflux in babies,"Your baby does not usually need to see a doctor if they have reflux, as long as they're happy, healthy and gaining weight.
Do
ask a health visitor for advice and support
get advice about your baby's breastfeeding position or how to bottle feed your baby
hold your baby upright during feeding and for as long as possible after feeding
burp your baby regularly during feeds
give formula-fed babies smaller feeds more often
make sure your baby sleeps flat on their back (they should not sleep on their side or front)
Don’t
do not change your diet if you're breastfeeding
do not raise the head of their cot or Moses basket"
Treatment for reflux in babies,"A GP or specialist may sometimes recommend treatments for reflux.
If your baby is formula-fed, you may be given:
a powder that's mixed with formula to thicken it
a pre-thickened formula milk
If the thickening powder does not help or your baby is breastfed, a GP or specialist might recommend medicines that stop your baby's stomach producing as much acid.
Very rarely, surgery might be needed to strengthen the muscles to stop food or milk travelling back up. This is usually only after trying other things or if their reflux is severe."
Causes of reflux,"Reflux usually happens because your baby's food pipe (oesophagus) has not fully developed, so milk can come back up easily.
Your baby's oesophagus will develop as they get older and the reflux should stop."
Symptoms of acne,"Acne most commonly develops on the:
face – this affects almost everyone with acne
back – this affects more than half of people with acne
chest – this affects about 15% of people with acne
Credit:
Types of spots
There are 6 main types of spot caused by acne:
blackheads – small black or yellowish bumps that develop on the skin; they're not filled with dirt, but are black because the inner lining of the hair follicle produces colour
whiteheads – have a similar appearance to blackheads, but may be firmer and will not empty when squeezed
papules – small red bumps that may feel tender or sore
pustules – similar to papules, but have a white tip in the centre, caused by a build-up of pus
nodules – large hard lumps that build up beneath the surface of the skin and can be painful
cysts – the most severe type of spot caused by acne; they're large pus-filled lumps that look similar to boils and carry the greatest risk of causing permanent scarring"
Things you can try if you have acne,"These self-help techniques may be useful:
Do not wash affected areas of skin more than twice a day. Frequent washing can irritate the skin and make symptoms worse.
Wash the affected area with a mild soap or cleanser and lukewarm water. Very hot or cold water can make acne worse.
Do not try to ""clean out"" blackheads or squeeze spots. This can make them worse and cause permanent scarring.
Avoid make-up, skincare and suncare products that are oil-based (sometimes labelled “comedogenic”). Use water-based non-comedogenic products, as they’re less likely to block the pores in your skin.
Completely remove make-up before going to bed.
If dry skin is a problem, use a fragrance-free water-based emollient.
Regular exercise cannot improve your acne, but it can boost your mood and improve your self-esteem. Shower as soon as possible once you finish exercising as sweat can irritate your acne.
Wash your hair regularly and try to avoid letting your hair fall across your face.
Although acne cannot be cured, it can be controlled with treatment.
If you develop mild acne, it's a good idea to speak to a pharmacist for advice.
Several creams, lotions and gels for treating spots are available to buy from pharmacies.
Products containing a low concentration of benzoyl peroxide may be recommended, but be careful as this can bleach clothing.
If your acne is severe or appears on your chest and back, it may need to be treated with antibiotics or stronger creams that are only available on prescription."
When to seek medical advice,"If you have mild acne, speak to a pharmacist about medicines to treat it.
If these do not control your acne, or it's making you feel very unhappy, see a GP.
You should see a GP if you have moderate or severe acne or you develop nodules or cysts, as they need to be treated properly to avoid scarring. 
Try to resist the temptation to pick or squeeze the spots, as this can lead to permanent scarring.
Treatments can take several months to work, so do not expect results overnight. Once they do start to work, the results are usually good."
Why do I have acne?,"Acne is most commonly linked to the changes in hormone levels during puberty, but can start at any age.
Certain hormones cause the grease-producing glands next to hair follicles in the skin to produce larger amounts of oil (abnormal sebum).
This abnormal sebum changes the activity of a usually harmless skin bacterium called P. acnes, which becomes more aggressive and causes inflammation and pus.
The hormones also thicken the inner lining of the hair follicle, causing blockage of the pores. Cleaning the skin does not help to remove this blockage.
Other possible causes
Acne is known to run in families. If both your mother and father had acne, it's likely that you'll also have acne.
Hormonal changes, such as those that occur during the menstrual cycle or pregnancy, can also lead to episodes of acne in women.
There's no evidence that poor hygiene or sexual activity play a role in acne."
Who's affected?,"Acne is very common in teenagers and younger adults. About 95% of people aged 11 to 30 are affected by acne to some extent.
Acne is most common in girls from the ages of 14 to 17, and in boys from the ages of 16 to 19.
Most people have acne on and off for several years before their symptoms start to improve as they get older.
Acne often disappears when a person is in their mid-20s.
In some cases, acne can continue into adult life. About 3% of adults have acne over the age of 35."
Symptoms of an acoustic neuroma,"An acoustic neuroma may not cause any obvious symptoms at first.
Any symptoms tend to develop gradually and often include:
hearing loss that usually only affects 1 ear
hearing sounds that come from inside the body (tinnitus)
the sensation that you're moving or spinning (vertigo)
A large acoustic neuroma can also sometimes cause:
persistent headaches
temporary blurred or double vision
numbness, pain or weakness on 1 side of the face
problems with limb co-ordination (ataxia) on 1 side of the body
voice changes or difficulty swallowing (dysphagia)"
Getting medical advice,"See your GP if you have persistent or troublesome symptoms that you're worried could be caused by an acoustic neuroma.
Acoustic neuromas can be difficult to diagnose because the symptoms can be caused by other conditions, such as Ménière's disease.
If your GP thinks you could have an acoustic neuroma, you'll be referred to a hospital or clinic for further tests, such as:
hearing tests to check for hearing problems and determine whether they're caused by a problem with your nerves
an MRI scan, which uses strong magnetic fields and radio waves to produce a detailed picture of the inside of your head
a CT scan, which uses a series of X-rays to create a detailed image of the inside of your head"
Treatments for acoustic neuromas,"There are several different treatment options for an acoustic neuroma, depending on the size and position of your tumour, how fast it's growing and your general health.
The main options are:
monitoring the tumour – small tumours often just need to be monitored with regular MRI scans, and treatment is generally only recommended if scans show it's getting bigger
brain surgery – surgery to remove all or some of the tumour through a cut in the skull may be carried out under general anaesthetic if it's large or getting bigger
stereotactic radiosurgery – small tumours, or any pieces of a larger tumour that remain after surgery, may be treated with a precise beam of radiation to stop them getting any bigger
All these options carry some risks. For example, surgery and radiosurgery can sometimes cause facial numbness or an inability to move part of your face (paralysis).
Speak to your specialist about the best option for you and what the benefits and risks are."
Outlook for acoustic neuromas,"Large acoustic neuromas can be serious because they can sometimes cause a life-threatening build-up of fluid in the brain (hydrocephalus).
But it's rare for them to reach this stage. Many grow very slowly or not at all, and those that grow more quickly can be treated before they become too big.
Even with treatment, symptoms such as hearing loss and tinnitus can persist and affect your ability to work, communicate and drive.
These problems may need additional treatment.
Read more about treating hearing loss and treating tinnitus.
An acoustic neuroma can occasionally return after treatment. This is thought to happen to around 1 in every 20 people who have had surgical removal.
You'll probably continue having regular MRI scans after any treatment to check if the tumour is growing again or coming back."
Symptoms of acromegaly,"Acromegaly can cause a wide range of symptoms, which tend to develop very slowly over time.
Early symptoms include:
swollen hands and feet – you may notice a change in your ring or shoe size
tiredness and difficulty sleeping, and sometimes sleep apnoea
gradual changes in your facial features, such as your brow, lower jaw and nose getting larger, or your teeth becoming more widely spaced
numbness and weakness in your hands, caused by a compressed nerve (carpal tunnel syndrome)
Children and teenagers will be abnormally tall.
As time goes on, common symptoms include:
abnormally large hands and feet
large, prominent facial features (such as the nose and lips) and an enlarged tongue
skin changes – such as thick, coarse, oily skin, skin tags, or sweating too much
deepening of the voice as a result of enlarged sinuses and vocal cords
joint pain
tiredness and weakness
headaches
blurred or reduced vision
loss of sex drive
abnormal periods (in women) and erection problems (in men)
Symptoms often become more noticeable as you get older.
See a GP straight away if you think you have acromegaly.
Acromegaly can usually be successfully treated, but early diagnosis and treatment is important to prevent the symptoms getting worse and reduce the chance of complications."
Risks of acromegaly,"If you do not get treatment, you may be at risk of developing:
type 2 diabetes
high blood pressure (hypertension)
heart disease
disease of the heart muscle (cardiomyopathy)
arthritis
bowel polyps, which can potentially turn into bowel cancer if left untreated
Because of the risk of bowel polyps, a procedure known as a colonoscopy might be recommended if you've been diagnosed with acromegaly. Regular colonoscopy screening may also be necessary."
Causes of acromegaly,"Acromegaly happens because your pituitary gland (a pea-sized gland just below the brain) produces too much growth hormone.
This is usually caused by a non-cancerous tumour in the pituitary gland called an adenoma.
Most of the symptoms of acromegaly are due to the excess of growth hormone itself, but some come from the tumour pressing on nearby tissues. For example, you may get headaches and vision problems if a tumour pushes against the nearby nerves.
Acromegaly sometimes runs in families, but most of the time it's not inherited. Adenomas usually spontaneously develop because of a genetic change in a cell of the pituitary gland. This change causes uncontrolled growth of the affected cells, creating the tumour.
Rarely, acromegaly is caused by a tumour in another part of the body, such as the lungs, pancreas or another part of the brain. It may also be linked to some genetic conditions."
Treating acromegaly,"Treatment for acromegaly depends on your symptoms. Usually the goal is to:
reduce growth hormone production to normal levels
relieve the pressure a tumour may be putting on surrounding tissues
treat any hormone deficiencies
improve your symptoms
Most people with acromegaly have surgery to remove a pituitary tumour. Medicine or radiotherapy may sometimes be needed after, or instead of, surgery.
Surgery
Surgery is usually effective and can completely cure acromegaly. But sometimes the tumour is too large to be removed entirely, and you may need another operation or further treatment with medicine or radiotherapy.
Under general anaesthetic, the surgeon will make a small cut inside your nose or behind your upper lip to access the pituitary gland.
A long, thin, flexible tube with a light and video camera at one end, called an endoscope, is fed into the opening so your doctor can see the tumour. Surgical instruments are passed through the same opening and used to remove the tumour.
Removing the tumour should instantly lower your levels of growth hormone and relieve pressure on the surrounding tissue. Facial features often start to return to normal and swelling improves within a few days.
With surgery, there's risk of:
damaging the healthy parts of your pituitary gland
leakage of the fluid that surrounds and protects your brain
meningitis – although this is rare
Your surgeon will discuss these risks with you and answer any questions you have.
Medicine
Medicine may be prescribed if your growth hormone levels are still higher than normal after surgery, or if surgery was not possible.
3 different types of medicine are used:
a monthly injection of either octreotide, lanreotide or pasireotide – this slows down the release of growth hormone and can sometimes also shrink tumours
a daily pegvisomant injection – this blocks the effects of growth hormone and can significantly improve symptoms
bromocriptine or cabergoline tablets – these can stop growth hormone being produced, but they only work in a small proportion of people
Each of these medicines has different advantages and disadvantages. Speak to your doctor about the options available to you, and the benefits and risks of each.
Radiotherapy
If surgery is not possible, or not all of the tumour could be removed, or if medicine has not worked, you may be offered radiotherapy.
This can eventually reduce your growth hormone levels, but it may not have a noticeable effect for several years and you may need to take medicine in the meantime.
2 main types of radiotherapy are used to treat acromegaly:
stereotactic radiotherapy – a high-dose beam of radiation is aimed very precisely at your adenoma; you'll need to wear a rigid head frame or a plastic mask to hold your head still during the treatment, which can usually be done in one session
conventional radiotherapy – this also uses a beam of radiation to target the adenoma, but it's wider and less precise than the one used in stereotactic radiotherapy; this means this treatment can damage the surrounding pituitary gland and brain tissue, so it's given in small doses over 4 to 6 weeks to give your tissues time to heal between treatments
Stereotactic radiotherapy is more commonly used to treat adenomas because it minimises the risk of damage to nearby healthy tissue.
Radiotherapy can have a number of side effects. It will often cause a gradual drop in the levels of other hormones produced by your pituitary gland, so you'll usually need hormone replacement therapy for the rest of your life. It may also have an effect on your fertility.
Your doctor will be able to talk to you about these risks and other possible side effects.
Follow-up
Treatment is often effective at stopping the excessive production of growth hormone and improving the symptoms of acromegaly.
After treatment, you'll need regular follow-up appointments with your specialist for the rest of your life. These will be used to monitor how well your pituitary gland is working, check you're on the correct hormone replacement treatment and make sure the condition does not return."
Diagnosing acromegaly,"Because the symptoms of acromegaly often develop gradually over several years, you may not get a diagnosis straight away. Your doctor may ask you to bring in photographs of yourself that span the past few years to look for the tell-tale gradual changes.
Blood tests
If your doctor suspects you have acromegaly, you'll need to have a blood test to measure your growth hormone levels.
To make sure the blood test gives an accurate result, you may be asked to drink a sugary solution before having a series of blood samples taken. For people without acromegaly, drinking the solution should stop growth hormone being released. In people with acromegaly, the level of growth hormone in the blood will remain high. This is called a glucose tolerance test.
Your doctor will also measure the level of another hormone, called insulin-like growth factor 1 (IGF-1). A higher level of IGF-1 is a very accurate indication that you may have acromegaly.
Brain scans
If your blood tests show a high level of growth hormone and IGF-1, you might have an MRI scan of your brain. This will show where the adenoma is in your pituitary gland and how big it is. If you cannot have an MRI scan, a CT scan can be carried out, but this is less accurate."
National Congenital Anomaly and Rare Disease Registration Service,"If you have acromegaly, your clinical team will pass information about you on to the National Congenital Anomaly and Rare Disease Registration Service (NCARDRS).
The NCARDRS helps scientists look for better ways to treat and prevent acromegaly. You can opt out of the register at any time."
Check if you have actinic keratoses,"Actinic keratoses patches:
can feel dry, rough and scaly, or like sandpaper
are usually between 1cm and 2cm in size
can be the same colour as your skin, or range from pink to red to brown
may be itchy
Credit:
The patches usually appear on areas of your body that are often exposed to the sun, such as your face, hands and arms, ears, scalp and legs."
Treatment for actinic keratoses,"If you only have 1 actinic keratoses patch, a GP might suggest waiting to see if it goes away by itself.
If you have more than 1 patch, or a patch is causing you problems such as pain and itchiness, treatment is usually recommended.
A GP may refer you to a skin specialist (dermatologist).
Treatments for actinic keratoses include:
prescription creams and gels
freezing the patches (cryotherapy) – this makes the patches turn into blisters and fall off after a few weeks
surgery to cut out or scrape away the patches – you'll be given a local anaesthetic first, so it does not hurt
photodynamic therapy (PDT), where special cream is applied to the patches and a light is shone on them"
